x,y,h
114.1787486,30.53388241,8
114.1787486,30.53747567,12
114.1787486,30.54106893,8
114.1787486,30.54286556,8
114.1787486,30.55184872,12
114.1787486,30.5626285,2
114.1787486,30.56442513,2
114.1787486,30.56622176,2
114.1787486,30.56801839,1
114.1787486,30.57520491,3
114.1787486,30.57879818,2
114.1787486,30.58059481,11
114.1787486,30.58239144,49
114.1787486,30.58418807,132
114.1787486,30.5859847,14
114.1787486,30.58957796,2
114.1787486,30.59137459,55
114.1787486,30.59317122,6
114.1787486,30.59496785,15
114.1787486,30.60215437,2
114.1787486,30.60934089,4
114.1787486,30.61113753,2
114.1787486,30.61293416,6
114.1787486,30.61473079,9
114.1787486,30.61652742,5
114.1787486,30.61832405,2
114.1787486,30.62012068,8
114.1787486,30.6273072,8
114.1787486,30.62910383,8
114.1787486,30.63090046,7
114.1808327,30.51950937,2
114.1808327,30.52489926,1
114.1808327,30.52669589,2
114.1808327,30.53028915,152
114.1808327,30.53567904,113
114.1808327,30.54825546,4
114.1808327,30.55005209,4
114.1808327,30.55903524,9
114.1808327,30.56442513,4
114.1808327,30.57161165,1
114.1808327,30.57879818,4
114.1808327,30.58059481,2
114.1808327,30.58239144,14
114.1808327,30.58418807,4
114.1808327,30.58778133,9
114.1808327,30.58957796,95
114.1808327,30.59317122,64
114.1808327,30.59496785,2
114.1808327,30.59676448,4
114.1808327,30.60215437,2
114.1808327,30.603951,2
114.1808327,30.60754426,7
114.1808327,30.60934089,7
114.1808327,30.61113753,2
114.1808327,30.61293416,4
114.1808327,30.61473079,4
114.1808327,30.61652742,2
114.1808327,30.6273072,6
114.1808327,30.62910383,8
114.1808327,30.63090046,8
114.1829169,30.521306,3
114.1829169,30.52669589,8
114.1829169,30.52849252,11
114.1829169,30.53028915,259
114.1829169,30.53567904,24
114.1829169,30.53747567,21
114.1829169,30.5392723,9
114.1829169,30.54466219,3
114.1829169,30.54645883,12
114.1829169,30.55005209,8
114.1829169,30.56442513,8
114.1829169,30.56801839,9
114.1829169,30.56981502,9
114.1829169,30.57879818,83
114.1829169,30.58059481,219
114.1829169,30.58239144,231
114.1829169,30.5859847,1
114.1829169,30.58957796,4
114.1829169,30.59137459,21
114.1829169,30.59496785,6
114.1829169,30.59676448,54
114.1829169,30.59856111,8
114.1829169,30.603951,2
114.1829169,30.60574763,4
114.1829169,30.61113753,52
114.1829169,30.61293416,11
114.1829169,30.61473079,8
114.1829169,30.61652742,54
114.1829169,30.61832405,4
114.1829169,30.6273072,6
114.1829169,30.62910383,8
114.1850011,30.51950937,1
114.1850011,30.52489926,2
114.1850011,30.52669589,14
114.1850011,30.53028915,2
114.1850011,30.53208578,81
114.1850011,30.53388241,12
114.1850011,30.53567904,5
114.1850011,30.53747567,3
114.1850011,30.5392723,8
114.1850011,30.54106893,2
114.1850011,30.54466219,11
114.1850011,30.54645883,115
114.1850011,30.55005209,4
114.1850011,30.55723861,2
114.1850011,30.56442513,22
114.1850011,30.56981502,1
114.1850011,30.57340828,4
114.1850011,30.57700154,4
114.1850011,30.57879818,6
114.1850011,30.58059481,2
114.1850011,30.58239144,8
114.1850011,30.5859847,22
114.1850011,30.58778133,51
114.1850011,30.58957796,65
114.1850011,30.59137459,16
114.1850011,30.59317122,14
114.1850011,30.59496785,8
114.1850011,30.59676448,2
114.1850011,30.60215437,1
114.1850011,30.60574763,14
114.1850011,30.60754426,1
114.1850011,30.61113753,13
114.1850011,30.61293416,17
114.1850011,30.61652742,14
114.1850011,30.61832405,6
114.1850011,30.62012068,4
114.1850011,30.62371394,28
114.1850011,30.62551057,4
114.1850011,30.62910383,6
114.1850011,30.63090046,6
114.1870852,30.521306,2
114.1870852,30.52669589,4
114.1870852,30.52849252,5
114.1870852,30.53028915,54
114.1870852,30.53208578,23
114.1870852,30.53388241,9
114.1870852,30.53567904,11
114.1870852,30.54466219,3
114.1870852,30.54645883,44
114.1870852,30.54825546,29
114.1870852,30.55184872,8
114.1870852,30.55723861,4
114.1870852,30.5626285,21
114.1870852,30.56442513,58
114.1870852,30.56622176,37
114.1870852,30.56801839,1
114.1870852,30.57520491,4
114.1870852,30.57700154,1
114.1870852,30.58418807,2
114.1870852,30.5859847,24
114.1870852,30.58778133,2
114.1870852,30.59137459,13
114.1870852,30.59317122,15
114.1870852,30.59496785,13
114.1870852,30.59676448,2
114.1870852,30.60215437,16
114.1870852,30.60574763,1
114.1870852,30.60754426,6
114.1870852,30.60934089,5
114.1870852,30.61293416,1
114.1870852,30.61473079,2
114.1870852,30.61652742,1
114.1870852,30.61832405,8
114.1870852,30.62012068,6
114.1870852,30.62191731,114
114.1870852,30.62371394,16
114.1870852,30.63090046,4
114.1891694,30.51232284,1
114.1891694,30.51950937,2
114.1891694,30.52489926,23
114.1891694,30.52849252,57
114.1891694,30.53028915,78
114.1891694,30.53208578,8
114.1891694,30.53388241,12
114.1891694,30.53567904,23
114.1891694,30.53747567,22
114.1891694,30.5392723,17
114.1891694,30.54286556,6
114.1891694,30.54466219,52
114.1891694,30.54645883,7
114.1891694,30.55005209,16
114.1891694,30.55364535,7
114.1891694,30.56083187,13
114.1891694,30.5626285,27
114.1891694,30.56622176,18
114.1891694,30.57161165,2
114.1891694,30.57340828,4
114.1891694,30.57520491,4
114.1891694,30.57879818,2
114.1891694,30.58957796,4
114.1891694,30.59317122,13
114.1891694,30.59496785,6
114.1891694,30.59676448,8
114.1891694,30.59856111,2
114.1891694,30.60035774,18
114.1891694,30.603951,23
114.1891694,30.60574763,16
114.1891694,30.60754426,1
114.1891694,30.61113753,4
114.1891694,30.61293416,7
114.1891694,30.61473079,55
114.1891694,30.61652742,37
114.1891694,30.61832405,38
114.1891694,30.62012068,115
114.1891694,30.62191731,14
114.1891694,30.62371394,2
114.1891694,30.62551057,8
114.1891694,30.6273072,9
114.1891694,30.62910383,2
114.1891694,30.63090046,119
114.1891694,30.63269709,7
114.1912536,30.51771274,4
114.1912536,30.52489926,16
